SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,SATHAISPAT,Sathavahana Ispat Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,STCINDIA,The State Trading Corpn, ,10/12/2020,17/12/2020,08/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GARDENSILK,Garden Silk Mills Ltd., ,16/12/2020,21/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BFUTILITIE,BF Utilities Limited, ,30/12/2020,30/12/2020,28/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BEDMUTHA,Bedmutha Indust Ltd, ,08/12/2020,14/12/2020,04/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PANACEABIO,Panacea Biotec Ltd., ,17/12/2020,24/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DCMFINSERV,DCM Financial Ser Ltd, ,12/12/2020,18/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PARASPETRO,Paras Petrofils Limited, ,12/12/2020,17/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RKDL,Ravi Kumar Distilleries, ,16/12/2020,23/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BINANIIND,Binani Industries Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SANGHVIFOR,Sanghvi For & Eng Ltd, ,15/12/2020,24/12/2020,11/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DBREALTY,D B Realty Limited, ,16/12/2020,22/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ORCHPHARMA,Orchid Pharma Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PRAENG,Prajay Engineers Syndicat, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GATI,GATI LIMITED, ,22/12/2020,28/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KSERASERA,KSS Limited, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ARCOTECH,Arcotech Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,TWL,Titagarh Wagons Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,REGENCERAM,Regency Ceramics Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,NAGAFERT,Nagarjun Fert and Che Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DREDGECORP,DREDGING CORP OF INDIA, ,16/12/2020,22/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PNC,Pritish Nandy Comm. Ltd., ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BLUEBLENDS,Blue Blends (I) Ltd, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JINDCOT,Jindal Cotex Ltd, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GOLDENTOBC,Golden Tobacco Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
