SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,SHIRPUR-G,AgeeGoldRefn-Roll Sett, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,NDL,Nandan Denim Limited, ,26/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HCLTECH,HCL Technologies Ltd.,23/01/2021, , ,21/01/2021, , ,INTERIM DIVIDEND         
BE,OPTOCIRCUI,Opto Circuits (I) Ltd., ,29/12/2020,31/12/2020,24/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ENGINERSIN,Engineers India-Depo,01/01/2021, , ,31/12/2020, , ,BUYBACK                  
BE,GDL,Gateway Distriparks Ltd.,06/01/2021, , ,05/01/2021, , ,INTDIV - RS 2 PER SH     
BE,GMDCLTD,Gujarat Min. Dev. Corpn , ,24/12/2020,31/12/2020,22/12/2020, , ,AGM/DIV - RS 2 PER SH    
BE,VISUINTL,Visu International Limite, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JBFIND,JBF INDUSTRIES LTD, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PREMIER,Premier Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SKIL,SKIL Infrastr. Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,VISESHINFO,Visesh Infotecnics Limite, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,STEELXIND,Steel Exchange India Ltd, ,11/01/2021,18/01/2021,07/01/2021, , ,EXTRA GENERAL MEETING    
BE,SIMPLEXINF,Simplex Infrastructures L, ,22/12/2020,30/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,WEBELSOLAR,Websol Energy System Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MANPASAND,Manpasand Beverages Ltd., ,28/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ASHAPURMIN,Ashapura Minechem Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JISLJALEQS,Equity shares of Rs.10/-, ,21/12/2020,30/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JISLDVREQS,Jain DVR Equity Shares, ,21/12/2020,30/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MFSL,Max Fin Serv Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HAVISHA,Sri Havisha Hosp infr Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
