SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,MAXVIL,Max Ventures and Inds Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,CUPID,Cupid Limited, ,21/12/2020,22/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MAHASTEEL,Mahamaya Steel Inds Ltd, ,17/12/2020,23/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ITDC,India Tour. Dev. Co. Ltd., ,28/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SCAPDVR,Stampede Capital Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,NTL,Neueon Towers Limited, ,28/12/2020,28/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HAL,Hindustan Aeronautics Ltd,19/12/2020, , ,17/12/2020, , ,INT DIV - RS 15 PER SH   
BE,BCG,Lycos Internet Limited, ,22/12/2020,28/12/2020,18/12/2020, , ,AGM/DIV - RS 0.05 PER SH 
BE,MOHOTAIND,Mohota Industries Ltd., ,17/12/2020,24/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HAVISHA,Sri Havisha Hosp infr Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PROSEED,Proseed India Limited, ,13/12/2020,19/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HEMIPROP,Hemisphere Prop Ind Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,VALIANTORG,Valiant Organics Limited,28/12/2020, , ,24/12/2020, , ,BONUS 1:1                
BE,ORCHPHARMA,Orchid Pharma Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SPICEJET,Spicejet Limited, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SEYAIND,Seya Industries Limited, ,20/12/2020,26/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GFSTEELS,Grand Foundry Ltd, ,17/12/2020,23/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DPWIRES,D P Wires Limited, ,23/12/2020,31/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
