SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,UJAAS,Ujaas Energy Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,NDL,Nandan Denim Limited, ,26/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,LYPSAGEMS,Lypsa Gems & Jewel Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SKIL,SKIL Infrastr. Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ARCOTECH,Arcotech Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,CCHHL,Country Club Hosp Hol Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MANPASAND,Manpasand Beverages Ltd., ,28/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MFSL,Max Fin Serv Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KRIDHANINF,Kridhan Infra Limited, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PILANIINVS,Pilani Inv & Ind Cor Ltd,02/01/2021, , ,31/12/2020, , ,BONUS 2:5                
BE,ORTINLABSS,Ortin Laboratories Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,STAMPEDE,Stampede Capital Ltd, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,NAGAFERT,Nagarjun Fert and Che Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MAXVIL,Max Ventures and Inds Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ITDC,India Tour. Dev. Co. Ltd., ,28/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
